"","text"
"1"," situation  autocracy   government  corrupt antidemocratic government     ha  happened  100   monopolies created  rockefeller carnegie    morgan  controlled america   chose  government      brake   companies   people killed  president   vicepresident  office  vicepresident fixed  situation  destroying  financial empires   bleeding  people   situation   living    joe biden   elected   people   corruption"
"2","  america  ruled  monopolies  highly  criminal business    blocking  development  personal computers amazon highly  criminal business   absorbed    commerce  america   multinationals producing  china google highly  criminal business   allied  amazon  participate   commerce  monopolizing  facebook highly  criminal business   controls    communications  people   companies    moment literally control  government  companies  joe biden   presidency    democratic party   congress     corrupt government"
"3","congratulations  president joy biden"
"4","congratulations  president joy boden"
"5","   worse   2016rip  "
"6","joe biden  fake president democratic party   electoral fraud party"
"7","crook  rob  "
"8"," devil   witch"
"9","lier cheater theif    president    president"
"10"," imitates obamas speech"
"11","joe biden"
"12","wow    hard   president  tech main stream media bias  helped  democrats  biden wins china wins america   america "
"13","biden tiene pinta  mafioso"
"14"," hail   gypsi"
"15","  joe biden       job      trump supporters   comments  lose  shit"
"16","usa      god<U+393C><U+3E32>s guidance  it<U+393C><U+3E32>s     righteous people  "
"17","lol  bad   voters  liberalsu0001f923u0001f923"
"18"," "
"19","  78yearold presidents     american history  health  age matter  national leadership positions   united "
"20"," trump"
"21","fraud"
"22","  nw  remaining  minutes       knw   vote  plize      country   generation  crying   motherland  dot hv  power  remove dat      ur   america u0001f64fu0001f64fu0001f64f"
"23","plize america  hv  supported  countries plize     generation  uganda   suffering jst   dat   museveni"
"24"," god iwish  country     america den     "
"25","kalama   vice president  joe biden  president  united  u0001f4afu0001f4afu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f44eu0001f922"
"26","   preeple  brhdh  ther dance140   thgkn  sssenator348 meelionsof uhmezricans sounds   speed rapper 824 america hercalled  "
"27","demented warmonger"
"28","   230   people   lost  loved     united   merica"
"29","sounds     exfelon        chance  achieve  dreams 20  trouble   college degree       suppression  society"
"30","dominion machinesusa u0001f1fau0001f1f8  shame   "
"31","u0001f339u0001f339u0001f339"
"32","       wikipeds biden   ears    hmmm     vaccine people wake "
"33","fuuuj"
"34","  illegitimate president    elected  yeah     cheating"
"35","ram ram ji u0001f64f"
"36","trump    admission        wwe"
"37"," wing watching dis  try<U+393C><U+3E32>s  assassinate   president"
"38","      extensive  inclusive voter fraud organization   history  american politics  joe biden"
"39","amercachoose   grandpa  president u0001f602u0001f62d"
"40"," royal rumble entrance "
"41","hitlerenglandsoviet russia  dominent   details  cento  "
"42","  joe biden familly   coruption affairs  whould      democracy     caligula style leaders latly  policies    ridiculous     term    woman    ridiculous      sodom   sexual orientations   family    people   sex irresponsibly   abort babies    build  nation   wow   roman empire     behavior   started  caligula    clinton loving  sex   style  rullership plunged rome   dark ages"
"43"," joe     dede  iam     president"
"44","people    immigrated    refugees   soviet union  cuba ethiopia mozambique  south yemen north korea cambodia grenada honduras nicaragua china vietnam poland hungary czechoslovakia romania albania bulgaria  east germany  mongolia  congo    countries    escaped  immigrated    canada australia  zealand     tat  2020  fraudlection   disgusting globalist socialist coup d<U+633C><U+3E39>tat     treason   american people  cheated  stocked votes  threw  votes    president trump       videos    democrat  socialist party  volunteers  ripping  folding votes  tossem   garbage  michigan    dozen ppl  caught stocking biden votes  destroying trump votes   charged    prosecuted   court  law   swamp creatures     evidence fake news cnn msnbc bbc  president trump  liar  remember dinesh dsouza   prison  donating 20 000   conservative friend running     house    seat   senate  2020   anti american antiisrael  white guilt sufferer entitled privileged scum bucket mark zuckerberg donated  500 000 000      democrat      meant socialist  marxists politicians running  bidenharris  administration     start crying  time    hear   marks    america         chance       israel  dozens  anti semite pro jihadist    house omar tlaib andre carson aoc pressley     pushing    aid weapon sales  israel  green  deal  destroy   economy  badly   conservatives    pro american party   win  presidency    2 decades    4050   100 yrs  recover       population    1  biden harris    borders defund border securitypatrol services law enforcements abolish homeland security  marshall service   agencies  enforce  immigration laws        selling   houses  business   moving  budapest     lovely wife    mozambique  overthere   worst        4  yrs  served   military  6 yrs  9 months     safeway  8 yrs  eligible   pension          2200   3000 month  wife  served    12 yrs   100 disability   injuries suffered  afghanistan   ptsd      2085month disability   1100 month  partial pension   waiting   chunk     injury    faulty explosives  outpost       offered 125 000   lawyer told     receive     money  receive   money   property   live   queen  king  hungary  god bless american  canadian patriots   praying  yaall  finally   lastly god bless  true real president   united  president real donald john trump    president  putting america  americans    helping middle   class americans       step   prison reform  freeing thousands   violent convicts   sentenced   decades  petty crimes       prison  2030 50 yrs    life  kamala harris   team"
"45","        extensive  inclusive voter fraud organization   history  american politics<U+393C><U+3E34>joe biden"
"46","joe biden  dead   duplicate      read      commercial news   shot   bought  rockefeller<U+393C><U+3E32>s family  rothschild family"
"47","biden cheated"
"48","biden   trumptrump u0440u0443u0441u0441u043au0438u0435 u043du0435 u0441u0434u0430u044eu0442u0441u044f"
"49","   "
"50","      fake nopresident"
"51","u0001f600u0001f600u0001f600u0001f44du0001f44du0001f44du0001f44dcongratulations  president"
"52","u0001f60du0001f60du0001f60du0001f60du0001f60d  yeah u0001f64cu0001f64cu0001f64cu0001f64cu0001f64c"
"53","  president  "
"54","ashli babbitt   patriot george floyd   crimialjoe biden   joke"
"55","joe biden fraudjoe biden corruptionjoe biden   president  fraud  corruptionusa u0001f1fau0001f1f8   shame   "
"56"," speech writer"
"57","god   biden hariss devils"
"58"," bit   trumps rallies  hate     hand   cooperation"
"59","       mandela      coutry     usa anc  luck   real people   usa    south africa"
"60","   south african      learders        slefs money    people    "
"61","  speech"
"62","     digest  speech knowing     insisted  bombing belgrade"
"63","     u0001f973u0001f973u0001f973u0001f973u0001f91fu0001f91fu0001f91fu0001f91fu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fcu270au0001f3fc"
"64","grande vittoria rubata quella di biden"
"65","    happy  fulfilled    win     feel   parade   elses victory"
"66"," feeling    nice"
"67","joe biden  bad donald tru"
"68","joe biden  bad donald tru"
"69","fraudsters"
"70"," globofasho joe"
"71","  criminal"
"72","beijing joe      trump    dizzy methods   president"
"73"," feeling    nice"
"74","u0001f44f       001 puppetfools gold"
"75","perv"
"76","joe suck"
"77","  pray  america      president         largest  debt   history    lenders        federal government   borrowing    withdrawing  hard earned money   social security fund  unbelievable   federal government   hard earned money   permission     news   internet  fund  social security fund   receiving      debt     80 billions      paid      citizens     money    federal government    multinationals  defense department    hard earned money  federal government literally  stealing    wealth   importantly  retirement           decent  age    direct responsible   arbitrary actions   people      supposedly  americans  supposedly       worst traitors        huge damage  nancy pelosi chuck schumer joe biden barack obama      people   parasites   hard earned money    lives nancy pelosi schuck schumer joe biden  mitch mcconnell"
"78","       time   mess pandemics  polluted waterways     abortions     earth  pornography       prisoners     earth  pharmaceutical drug abuse      asbestos zantac talcum powder approved   usda  kill millions  people  genetically modified  preserved foods eaten  americans        homeless  obese  debt       america lost  ability  produce    failed  reinvest   infrastructure yep        live"
"79","biden   criminal     jail  believes     president kamala   rid       "
"80","  douche0"
"81","congrats   biden   harris   love  guyana south america   serve  people  america god bless "
"82","      fraud biden    crook   life   taught  family      america    danger  democrats robbed  election  flooding   fraud biden votes  dead people  vote"
"83"," american president   power  fraudthen    god bless america u0001f923u0001f923u0001f923u0001f923u0001f923u0001f923u0001f923"
"84","eletion fraud   democracy die     called democracy country"
"85","hai congrats  presendent "
"86"," election  stolen  demons trump  gorgeous      win"
"87","  wait   tax plans hit"
"88"," ready  jeffrey epstein   close  maxwell   released kids   safe"
"89","dr jill   biden"
"90","biden talks bull shit          war"
"91","        country    answer  u0001f629"
"92","biden supports anti christian agenda  abortion  kamila harris    rid   american constitution     founded   believes   outdated   satan       lies  support sin     expose          country  people  god  accept jesus christ        pure sinless  perfect       evil times     time left  repentance   book  revelation maps  terrible   happen   future  jesus explains   happening    labour pains   worst  remember  god  save      reach    biden  kamilla           accept  blood  jesus   salvation  offers   living   times"
"93","joe biden   president"
"94","love ya president biden  vp harris"
"95","rmb smell  devil ccpdevil domhow<U+393C><U+3E32>s  feeling  stealing usa"
"96","u041bu0435u043eu043du0438u0434 u0418u043bu044cu0438u0447 u0432 u044du0442u043eu043c u0432u043eu0437u0440u0430u0441u0442u0435 u0443u0436u0435 u0443u043cu0435u0440"
"97","i<U+393C><U+3E32>m psyched   haven<U+393C><U+3E32>t   hopeful   elected official  decades  joe"
"98","joe bite      president"
"99","amerikahsi namdvilad gaimarjves baideni namdvilad gazlierebs amerikasac da aramarto amerikas mimashnia rom umagresi prezidenti iqneba"
"100","u2764ufe0f"
